plastic_family,weight_kg,count,source_type,date
film,15.60,0.00,single family,11/05/2018
textiles,4.36,0.00,single family,11/05/2018
rigid beverage container,0.37,0.00,single family,11/05/2018
rigid non-beverage container,4.98,26.00,single family,11/05/2018
other,3.29,29.00,single family,11/05/2018
film,11.67,0.00,single family,11/06/2018
texiles,3.83,0.00,single family,11/06/2018
rigid beverage container,0.25,0.00,single family,11/06/2018
rigid non-beverage container,8.33,47.00,single family,11/06/2018
other,3.62,39.00,single family,11/06/2019
film,5.37,0.00,single family,11/07/2018
texiles,7.34,0.00,single family,11/07/2018
rigid beverage container,0.26,0.00,single family,11/07/2018
rigid non-beverage container,2.32,12.00,single family,11/07/2018
other,6.76,15.00,single family,11/07/2018
film,4.90,0.00,single family,11/08/2018
texiles,9.38,0.00,single family,11/08/2018
rigid beverage container,0.01,0.00,single family,11/08/2018
rigid non-beverage container,0.90,0.00,single family,11/08/2018
other,6.77,0.00,single family,11/08/2018
film,6.51,0.00,single family,11/08/2018
texiles,9.49,0.00,single family,11/08/2018
rigid beverage container,1.47,0.00,single family,11/08/2018
rigid non-beverage container,1.26,0.00,single family,11/08/2018
other,1.22,45.00,single family,11/08/2018
film,9.91,0.00,single family,11/13/2018
texiles,3.51,0.00,single family,11/13/2018
rigid beverage container,0.14,0.00,single family,11/13/2018
rigid non-beverage container,3.67,8.00,single family,11/13/2018
other,2.16,19.00,single family,11/13/2018
film,6.83,0.00,single family,11/14/2018
texiles,3.87,0.00,single family,11/14/2018
rigid beverage container,0.33,0.00,single family,11/14/2018
rigid non-beverage container,4.57,28.00,single family,11/14/2018
other,1.00,41.00,single family,11/14/2018
film,7.70,0.00,single family,11/15/2018
texiles,3.11,0.00,single family,11/15/2018
rigid beverage container,0.24,0.00,single family,11/15/2018
rigid non-beverage container,4.37,12.00,single family,11/15/2018
other,2.04,21.00,single family,11/15/2018
film,19.34,0.00,single family,11/15/2018
texiles,5.19,0.00,single family,11/15/2018
rigid beverage container,0.40,0.00,single family,11/15/2018
rigid non-beverage container,7.55,16.00,single family,11/15/2018
other,3.90,19.00,single family,11/15/2018
film,4.86,0.00,single family,11/13/2018
texiles,5.61,0.00,single family,11/13/2018
rigid beverage container,0.34,0.00,single family,11/13/2018
rigid non-beverage container,1.18,3.00,single family,11/13/2018
other,1.39,26.00,single family,11/13/2018
film,6.41,0.00,single family,11/19/2018
texiles,3.82,0.00,single family,11/19/2018
rigid beverage container,0.18,6.00,single family,11/19/2018
rigid non-beverage container,2.44,73.00,single family,11/19/2018
other,3.97,49.00,single family,11/19/2018
film,11.06,0.00,single family,11/19/2018
texiles,3.50,0.00,single family,11/19/2018
rigid beverage container,0.02,1.00,single family,11/19/2018
rigid non-beverage container,2.43,33.00,single family,11/19/2018
other,5.79,27.00,single family,11/19/2018
film,3.05,29.00,single family,11/19/2018
texiles,13.51,0.00,single family,11/19/2018
rigid beverage container,0.04,0.00,single family,11/19/2018
rigid non-beverage container,1.62,8.00,single family,11/19/2018
other,1.97,12.00,single family,11/19/2018
film,8.06,27.00,single family,11/05/2018
texiles,7.07,0.00,single family,11/05/2018
rigid beverage container,0.79,9.00,single family,11/05/2018
rigid non-beverage container,5.41,21.00,single family,11/05/2018
other,5.11,17.00,single family,11/05/2018
film,4.82,0.00,single family,11/05/2018
texiles,3.19,0.00,single family,11/05/2018
rigid beverage container,1.26,8.00,single family,11/05/2018
rigid non-beverage container,3.02,17.00,single family,11/05/2018
other,2.16,32.00,single family,11/05/2018
film,10.53,0.00,single family,11/05/2018
texiles,8.33,0.00,single family,11/05/2018
rigid beverage container,0.15,3.00,single family,11/05/2018
rigid non-beverage container,2.98,17.00,single family,11/05/2018
other,3.64,26.00,single family,11/05/2018
film,11.46,95.00,single family,11/27/2018
texiles,6.41,0.00,single family,11/27/2018
rigid beverage container,0.17,6.00,single family,11/27/2018
rigid non-beverage container,3.02,48.00,single family,11/27/2018
other,3.43,125.00,single family,11/27/2018
film,7.19,0.00,single family,11/29/2018
texiles,6.32,0.00,single family,11/29/2018
rigid beverage container,0.18,3.00,single family,11/29/2018
rigid non-beverage container,3.33,10.00,single family,11/29/2018
other,1.27,30.00,single family,11/29/2018
film,14.74,0.00,multi family,11/05/2018
texiles,15.62,0.00,multi family,11/05/2018
rigid beverage container,4.47,0.00,multi family,11/05/2018
rigid non-beverage container,4.65,16.00,multi family,11/05/2018
other,2.25,21.00,multi family,11/05/2018
film,20.95,0.00,multi family,11/05/2018
texiles,0.00,0.00,multi family,11/05/2018
rigid beverage container,0.06,0.00,multi family,11/05/2018
rigid non-beverage container,6.19,35.00,multi family,11/05/2018
other,1.86,28.00,multi family,11/05/2018
film,6.27,0.00,multi family,11/06/2018
texiles,4.71,0.00,multi family,11/06/2018
rigid beverage container,1.26,0.00,multi family,11/06/2018
rigid non-beverage container,2.36,63.00,multi family,11/06/2018
other,4.09,38.00,multi family,11/06/2018
film,12.85,0.00,multi family,11/06/2018
texiles,0.24,0.00,multi family,11/06/2018
rigid beverage container,0.17,0.00,multi family,11/06/2018
rigid non-beverage container,3.91,17.00,multi family,11/06/2018
other,2.11,24.00,multi family,11/06/2018
film,11.87,0.00,multi family,11/07/2018
texiles,5.20,0.00,multi family,11/07/2018
rigid beverage container,0.16,0.00,multi family,11/07/2018
rigid non-beverage container,5.97,32.00,multi family,11/07/2018
other,5.16,43.00,multi family,11/07/2018
film,3.45,0.00,multi family,11/07/2018
texiles,6.83,0.00,multi family,11/07/2018
rigid beverage container,0.01,0.00,multi family,11/07/2018
rigid non-beverage container,1.67,0.00,multi family,11/07/2018
other,2.83,15.00,multi family,11/07/2018
film,1.59,0.00,multi family,11/13/2018
texiles,17.10,0.00,multi family,11/13/2018
rigid beverage container,0.04,0.00,multi family,11/13/2018
rigid non-beverage container,0.53,0.00,multi family,11/13/2018
other,8.79,29.00,multi family,11/13/2018
film,7.43,0.00,multi family,11/13/2018
texiles,9.83,0.00,multi family,11/13/2018
rigid beverage container,0.78,0.00,multi family,11/13/2018
rigid non-beverage container,3.81,0.00,multi family,11/13/2018
other,8.29,13.00,multi family,11/13/2018
film,7.12,0.00,multi family,11/14/2018
texiles,4.55,0.00,multi family,11/14/2018
rigid beverage container,0.89,0.00,multi family,11/14/2018
rigid non-beverage container,5.56,12.00,multi family,11/14/2018
other,0.93,21.00,multi family,11/14/2018
film,5.34,0.00,multi family,11/19/2018
texiles,1.37,0.00,multi family,11/19/2018
rigid beverage container,0.31,8.00,multi family,11/19/2018
rigid non-beverage container,3.48,14.00,multi family,11/19/2018
other,3.17,14.00,multi family,11/19/2018
film,2.31,14.00,multi family,11/20/2018
texiles,1.62,0.00,multi family,11/20/2018
rigid beverage container,0.07,3.00,multi family,11/20/2018
rigid non-beverage container,0.54,7.00,multi family,11/20/2018
other,6.49,11.00,multi family,11/20/2018
film,1.27,0.00,multi family,11/22/2018
texiles,3.25,0.00,multi family,11/22/2018
rigid beverage container,0.14,5.00,multi family,11/22/2018
rigid non-beverage container,4.78,8.00,multi family,11/22/2018
other,10.15,2.00,multi family,11/22/2018
film,3.81,0.00,multi family,11/23/2018
texiles,4.62,0.00,multi family,11/23/2018
rigid beverage container,0.41,16.00,multi family,11/23/2018
rigid non-beverage container,1.92,16.00,multi family,11/23/2018
other,1.28,25.00,multi family,11/23/2018
film,6.10,0.00,multi family,11/26/2018
texiles,0.93,0.00,multi family,11/26/2018
rigid beverage container,0.05,2.00,multi family,11/26/2018
rigid non-beverage container,1.84,37.00,multi family,11/26/2018
other,1.30,33.00,multi family,11/26/2018
film,8.32,0.00,multi family,11/26/2018
texiles,5.89,0.00,multi family,11/26/2018
rigid beverage container,0.33,8.00,multi family,11/26/2018
rigid non-beverage container,5.17,50.00,multi family,11/26/2018
other,5.08,31.00,multi family,11/26/2018
film,8.23,56.00,multi family,11/27/2018
texiles,5.01,0.00,multi family,11/27/2018
rigid beverage container,0.01,0.00,multi family,11/27/2018
rigid non-beverage container,2.37,22.00,multi family,11/27/2018
other,1.13,18.00,multi family,11/27/2018
film,16.32,0.00,multi family,11/28/2018
texiles,3.60,0.00,multi family,11/28/2018
rigid beverage container,0.19,6.00,multi family,11/28/2018
